Year_Display_CN,Day_Display_Eng,Mouth_Display_Eng,Year_Display_Eng,Weekday_Eng,Weekday_CN,Lunar,up,Weather_1,Weather_2,Weather_3,Tip,IsHoliday
丁未羊年,1,January,2027,Friday,星期五,十一月廿四，元旦,我在何地,晴天,陰天,雨天,【新年新開始】祝各位打工仔今年加薪不加班！,ture
丁未羊年,2,January,2027,Saturday,星期六,十一月廿五,我在何地,晴天,陰天,雨天,元旦假期，好好休息，準備迎接新一週。,ture
丁未羊年,3,January,2027,Sunday,星期日,十一月廿六,我在何地,晴天,陰天,雨天,週末愉快，記得唔好睇公事Email！,ture
丁未羊年,,January,2027,Monday,星期一,十一月廿七,我在何地,晴天,陰天,雨天,星期一，Monday Blue正常發揮。,FALSE
丁未羊年,,January,2027,Tuesday,星期二,十一月廿八，小寒,我在何地,晴天,陰天,雨天,天氣開始凍，返工記得著多件衫。,FALSE
丁未羊年,,January,2027,Wednesday,星期三,十一月廿九,我在何地,晴天,陰天,雨天,今日宜：飲咖啡。忌：同老細開長會。,FALSE
丁未羊年,,January,2027,Thursday,星期四,十一月三十,我在何地,晴天,陰天,雨天,本週最後一戰，捱過佢就係週末！,FALSE
丁未羊年,,January,2027,Friday,星期五,臘月初一,我在何地,晴天,陰天,雨天,週末，約埋班Friend去行街Shopping。,FALSE
丁未羊年,9,January,2027,Saturday,星期六,臘月初二,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,10,January,2027,Sunday,星期日,臘月初三,我在何地,晴天,陰天,雨天,星期一，繼續為生活打拼。,ture
丁未羊年,11,January,2027,Monday,星期一,臘月初四,我在何地,晴天,陰天,雨天,努力工作，為既就係農曆新年既大假！,FALSE
丁未羊年,12,January,2027,Tuesday,星期二,臘月初五,我在何地,晴天,陰天,雨天,距離農曆新年假期仲有23日！,FALSE
丁未羊年,13,January,2027,Wednesday,星期三,臘月初六,我在何地,晴天,陰天,雨天,今日宜：準時收工。忌：OT。,FALSE
丁未羊年,14,January,2027,Thursday,星期四,臘月初七,我在何地,晴天,陰天,雨天,聽日就係週末，今晚可以放肆一下。,FALSE
丁未羊年,15,January,2027,Friday,星期五,臘月初八,我在何地,晴天,陰天,雨天,週末，天氣好適合去行山或者郊遊。,FALSE
丁未羊年,16,January,2027,Saturday,星期六,臘月初九,我在何地,晴天,陰天,雨天,放鬆心情，迎接新一週。,ture
丁未羊年,17,January,2027,Sunday,星期日,臘月初十,我在何地,晴天,陰天,雨天,Monday Blue，睇返放假相開心下。,ture
丁未羊年,18,January,2027,Monday,星期一,臘月十一，大寒,我在何地,晴天,陰天,雨天,大寒，一年中最凍?時期，注意保暖。,FALSE
